val_pred,val_true,aro_pred,aro_true
-0.34794772,-0.176846,-0.17376477,-0.0776398
-0.42187455,-0.367789,0.12166561,0.183895
0.014789719,-0.0629113,0.6568005,0.532327
-0.23747742,0.00483933,-0.051451355,-0.00483933
-0.40683967,-0.642857,-0.34453306,-0.507936
-0.900827,-0.597729,0.5967723,0.483164
-0.4179278,-0.309524,0.50098956,0.285714
-0.46959093,-0.147493,-0.27671552,-0.379267
-0.31474566,-0.648471,0.30384687,0.658149
-0.0878496,-0.626984,0.038649082,0.611111
-0.49138463,-0.539683,0.3125888,0.357143
0.7716019,0.537295,0.023200579,0.115887
-0.17088485,-0.246032,0.98383856,0.793651
-0.6578256,-0.793651,0.2116752,-0.373016
-0.07770847,-0.643631,0.32757804,0.65331
-0.067767546,-0.159698,0.63693476,0.938831
-0.3526516,-0.571429,-0.09060923,-0.222222
-0.10943012,-0.238095,0.040886767,0.753968
-0.17932966,-0.565045,-0.108464666,-0.176846
-0.73278135,-0.854767,-0.11747797,-0.234996
-0.0030261576,-0.18254,0.33444473,0.563492
0.10752026,0.0689021,0.66264427,0.750268
-0.265717,-0.316056,0.11720686,-0.15276
-0.11405649,-0.300039,0.10586122,0.333914
-0.45029834,0.611111,0.5798045,0.0873016
0.2711737,0.224293,0.90941966,0.733264
-0.64399135,-0.769841,-0.6299932,-0.388889
-0.24174424,-0.698413,0.84080625,0.47619
-0.09985908,-0.643631,0.32916868,0.648471
-0.3360205,-0.844784,-0.19874796,-0.324086
-0.062098786,-0.237127,0.046206746,0.237127
0.07207276,0.187567,0.8658636,0.803858
-0.44366413,-0.348675,0.65761167,0.632596
-0.38360807,-0.0919473,-0.125278,-0.0677507
-0.28954446,-0.556523,-0.30180448,-0.348432
-0.5707712,-0.738784,-0.051536307,-0.202879
0.83242285,0.922565,0.049101308,0.0885835
-0.4495507,-0.174603,0.62087643,0.547619
-0.21605708,-0.648471,0.012366444,0.658149
-0.38943607,-0.439281,0.4801695,0.525057
-0.4533441,-0.595238,0.48194999,0.65873
0.0067157173,0.396825,0.41569972,0.759775
-0.35733345,-0.758533,0.46207196,0.453013
0.04263144,0.125086,0.25937143,0.487405
-0.19766368,0.309524,0.27226448,0.150794
-0.38107768,-0.754936,0.3732872,0.421022
-0.5774287,-0.460317,0.42877367,0.277778
0.82235694,0.787009,0.1356026,0.358637
-0.21184173,-0.168563,0.9394356,0.790139
-0.084459856,0.367789,0.14928809,0.764615
-0.08594702,-0.750097,0.22248039,0.372629
0.24774873,0.191799,0.7749061,0.767196
-0.006885402,-0.722222,0.7717229,0.452381
